id	rubro	nombre	telefono	wp	direccion	envios	whatapp	contacto	geotag	asignado	
129	Pollerías	Carnave	435-7500		Av. Aconquija 85	no-atiende	no	google		Valeria	
130	Carnicerías	100% Cerdo	435-7613		Av. Aconquija 2297	si	no	google	-26.811182, -65.304131	Alejandro	
131	Panaderías	El Sol Tucumano	435-7800		Chile 150	no-atiende	no	google		Valeria	
133	Panaderías	Cosas Ricas	439-6717		Galería Quara  Camino de Sirga 1452	no	no	google		Carolina	
134	Verdulerías	Pringles	446-6281		Pringles 1228	no-atiende	no	google		Marcelo	
135	Librerías	Del Paseo Francés	446-9286		Av. Aconquija 1620	no-atiende	no	google		Pia	
136	Bebidas	Greenbeer	450-7658		Av. Perón 2500	si	no	sofia			
138	Veterinarias	Brangus	455-8138		Av. Perón 80	si	no	google		Luciana	
139	Comidas	Pizza 8	462-8560		Av. Aconquija 2129	si	no	sofia			
141	Almacenes	El Mercadito & Delivery	466-3294		Camino de Sirga 1452	si	no	luciana			
144	Carnicerías	Finca San Ramon	485-2343		Solano Vera 102	si	no	roxana	-26.813889, -65.301845		
145	Almacenes	El Mercadito	485-2348		Av. Aconquija 2054	si	no	luciana			
146	Carnicerías	Corroto Hijo	485-2369		Av. Aconquija 1978	no-atiende	no	google		Marcelo	
147	Veterinarias	Club Can	485-6021		Av. Perón 1700	no	no	google		Hernan	
148	Panaderías	El Buen Sabor	488-5901		Lobo de la Vega 701	no-atiende	no	google		Hernan	
151	Verdulerías	San Expedito	511-7163		Nicolás Avellaneda 3	si	no	google		Hernan	
152	Carnicerías	Fidensa	524-7760		San Martin 750	si	no	luciana	-26.822129, -65.293278		
153	Carnicerías	El Negro	524-8161		Gral. Lamadrid 1031 4107	no-atiende	no	google		Luciana	
155	Verdulerías	Anahí	539-9795		Av. Aconquija 2155	no-atiende	no	google		Sofia	
158	Carnicerías	Cabaña Juramento	557-3755		Lobo de la Vega 1222	no-atiende	no	google		Marcelo	
159	Carnicerías	La vaca club	562-3896 		Av. Aconquija 1629	si	no	google		Luciana	
160	Almacenes	Mi Super	566-5967			si	no	luz			
161	Helados	Grido	574-9939		Av. Aconquija 153	si	no	Luz			
163	Comidas	Nutrifood	583-5424			si	no	Luz			
169	Librerías	LesBlon	615-0111		Av. Aconquija 2018	no-atiende	no	google		Roxana	
171	Veterinarias	Dr Gustavo Valdez	637-6690		Av. Solano Vera 53	no-atiende	no	google		Roxana	
172	Librerías	Lo de Eve	638-5339		Av. Solano Vega 390	no-atiende	no	google		Marcelo	
173	Limpieza	3B distribuidora	655-4720			si	no	luciana			
176	Bebidas	Drink Delivery	687-2537		La pampa 1881	si	no	luz			
178	Fiambres	Don Jamon	435-3048		Av. Aconquija 118	si	no				
179	Fiambres	Colonia Caroya	425-3607		Av. Solano Vera 18	si	no				
181	Computación	Ututo	232-7668		Av. Aconquija 2010	si	no				
2	Almacenes	Panetto		647-8491		si	si	sofia			
3	Almacenes	Super Tatito		565-4785	Av. Aconquija 1978	si	si	http://tatito.com.ar/			
4	Almacenes	El Mercadito & Delivery		466-3294	Solano Vera 761	si	si	luciana			
5	Bebidas	Piaf		663-3783	Av. Perón 1800	si	si	sofia			
7	Bebidas	Boqueria Tucuman		697-7329	Av. Perón 2500	si	si	luciana	-26.800747, -65.303113		
8	Carnicerías	La Negrita		520-1010	Lobo de la Vega 340	si	si	sofia			
9	Carnicerías	Cresta Negra		302-7043	Av. Camino del peru 50	si	si	roxana	-26.817684, -65.264586		
10	Carnicerías	Fidensa		332-0152	Lobo de la Vega 1358	si	si	luciana	-26.802310, -65.292986		
11	Carnicerías	Finca San Ramon		342-5538	Maderuelo 900	si	si	roxana	-26.802831, -65.299021		
12	Carnicerías	Cuatrise		576-1636		si	si	sofia			
13	Carnicerías	El abasto Mercado de carnes		598-4807	Av. Aconquija 2496	si	si	roxana	-26.810958, -65.307113		
14	Carnicerías	La Perón		602-2576	Av. Perón 210	si	si	google		Carolina	
16	Comidas	Pura vida Mae		630-8678	San Lorenzo 147	si	si	sofia			
17	Comidas	La treinta y uno		466-1954	Av. Aconquija 1071	si	si	luciana			
